SITIO;PROYECTADO;NOMBRE;NOMBRE ZONA;NOMBRE SALA;Filas Nombre;DISPOSITIVO;Dispositivo ID;IP;Estado;MARCA;MODELO;Clase;Agrupador;Función;Contexto;Parent;Vigencia Baja;Vigencia Fecha Desde Date;Vigencia Fecha Hasta Date;Fecha Foto Date;Assettag;Fecha Carga Date;Fecha Instalación Date;Fecha Ultima Modificación Date;Fecha Descubrimiento Date;Fecha Auditoría Date;CLASIFICACION EDIFICIO;PROVINCIA;REGION;SUB REGION
ACB;ARSSACB;ACEBAL;Sala de Fuerza;;;ACB_SEA00_AKCP_1;1328978;10.217.39.29;Operativo;AKCP;SECURITYPROBE 5ES;MODULO DE MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL;ENTORNO DE RED;0;0;2023-09-07;9999-01-02;2024-11-27;64f9d58ebc96e415489272;2023-09-07;2023-06-09;2024-11-21;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;33 LITORAL SUR
ACB;ARSSACB;ACEBAL;Sala de Fuerza;;;ACB_SEA00_INV_X1_RMM_2;1435409;10.250.250.1;Operativo;CE+T;Bravo 10;INVERSOR SWITCHING CHASIS;INVERSOR;ENERGIA;ENTORNO DE RED;0;0;2024-05-22;9999-01-02;2024-11-27;664df97fea9b8698898180;2024-05-22;2024-05-20;2024-05-22;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;33 LITORAL SUR
ACC;ARSSACC;SAN CARLOS CENTRO;Sala de Energía A;;;ARSSACC_SEA0001_TTA_A1_EXE_1;860643;10.100.187.99;Operativo;Exemys;SSE232;MODULO DE MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;6096f7ef72a50;2021-05-08;2021-05-08;2024-06-03;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;32 LITORAL CENTRO
ACC;ARSSACC;SAN CARLOS CENTRO;Sala de Energía A;;;ARSSACC_SEA0001_UPS_A1;569616;10.100.187.102;Operativo;Legrand;Trimod 30 kVA;UPS MODULAR CHASIS;UPS;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5f6265f5c1156;1969-12-31;2020-09-16;2024-05-28;;2021-04-08;EDIFICIO HUB;SANTA FE;3 LITORAL;32 LITORAL CENTRO
ACC;ARSSACC;SAN CARLOS CENTRO;Sala Discover;;;ARSSACC_SOB0001_REC_AJ05_A1;860644;192.168.150.175;Operativo;ENATEL;PSC04020120-000;RECTIFICADOR SWITCHING CHASIS;RECTIFICADOR;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;6096fb54d25fc;2021-05-08;2021-05-08;2021-06-08;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;32 LITORAL CENTRO
ACC;ARSSACC;SAN CARLOS CENTRO;Sala de Rack 1;;Fila de Aire;ARSSACC_SR1_FA_AA_VMC01;1227489;10.100.187.104;Operativo;MITSUBISHI;AE-200A;VRV MODULO CONTROLADOR;REFRIGERACION EXPANSION DIRECTA VRV;CLIMATIZACION;ENTORNO DE RED;0;0;2022-11-25;9999-01-02;2024-11-27;63810d1bc7aaa528137534;2022-11-25;2022-11-25;2024-11-06;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;32 LITORAL CENTRO
ACD;ARXXACD;ALTA CORDOBA;Sala de Energía 1 PB;;ARXXACD_SEA0001_UPS_A1;ARXXACD_SEA0001_UPS_A1;1144668;10.217.7.133;Operativo;SCHNEIDER;Symmetra PX 160 kW;UPS MODULAR CHASIS;UPS;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;62b5fd168d9a6454484453;2022-06-24;2022-06-24;2022-10-26;;1900-01-02;EDIFICIO HUB;CORDOBA;2 MEDITERRANEA;22 GRAN CORDOBA
ACD;ARXXACD;ALTA CORDOBA;Sala de Energia 3 PB;;;ARXXACD_SEA0003_REC_A1;1154859;10.217.7.142;Operativo;ELTEK;Chasis Sistema rectificador 4200 A con distribución;RECTIFICADOR SWITCHING STANDALONE INDOOR;RECTIFICADOR;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;62c595374ee07155565727;2022-07-06;2022-07-06;2024-10-21;;2022-08-16;EDIFICIO HUB;CORDOBA;2 MEDITERRANEA;22 GRAN CORDOBA
ACD;ARXXACD;ALTA CORDOBA;Sala de Energía 2 PB;;ARXXACD_SEB0001_UPS_B1;ARXXACD_SEB0001_UPS_B1;1144678;10.217.7.134;Operativo;SCHNEIDER;Symmetra PX 160 kW;UPS MODULAR CHASIS;UPS;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;62b603a72b366777713917;2022-06-24;2022-06-24;2022-10-26;;1900-01-02;EDIFICIO HUB;CORDOBA;2 MEDITERRANEA;22 GRAN CORDOBA
ACD;ARXXACD;ALTA CORDOBA;Sala Objetivo;;POD 4;ARXXACD_SOB0001_AKC_1_AQ10_30;1333742;10.217.7.130;Operativo;AKCP;SECURITYPROBE 5ES;MODULO DE MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL;ENTORNO DE RED;0;0;2023-09-24;9999-01-02;2024-11-27;651050a6e6c58491700809;2023-09-24;2022-01-01;2024-01-03;;1900-01-02;EDIFICIO HUB;CORDOBA;2 MEDITERRANEA;22 GRAN CORDOBA
